,Posemo,Negemo,Work,Date,Status_id,length_messages
0,5.0,5.0,1.0,2016-08-27 22:25:46,261858613983318_631438893691953,80
1,3.0,,,2016-08-27 15:42:43,261858613983318_631275943708248,43
2,2.0,1.0,,2016-08-27 15:42:32,261858613983318_631275910374918,28
3,28.0,9.0,10.0,2016-08-27 15:35:38,261858613983318_631273183708524,386
4,9.0,5.0,1.0,2016-08-27 15:35:17,261858613983318_631273067041869,127
5,1.0,1.0,1.0,2016-08-27 15:34:50,261858613983318_631272793708563,11
6,3.0,,,2016-08-27 15:34:28,261858613983318_631272460375263,39
7,7.0,10.0,9.0,2016-08-27 15:34:04,261858613983318_631272190375290,299
8,3.0,,4.0,2016-08-27 15:32:56,261858613983318_631271133708729,47
9,,,,2016-08-27 15:32:39,261858613983318_631270990375410,34
10,4.0,3.0,,2016-08-27 15:32:16,261858613983318_631270763708766,51
11,,,1.0,2016-08-27 15:31:52,261858613983318_631270580375451,14
12,1.0,,,2016-08-27 15:31:35,261858613983318_631270463708796,10
13,1.0,1.0,,2016-08-27 15:31:02,261858613983318_631270323708810,52
14,9.0,7.0,2.0,2016-08-27 15:27:51,261858613983318_631267600375749,203
15,10.0,14.0,2.0,2016-08-27 15:27:24,261858613983318_631267493709093,270
16,1.0,1.0,,2016-08-27 15:27:09,261858613983318_631267437042432,11
17,4.0,1.0,1.0,2016-08-27 15:26:16,261858613983318_631267307042445,262
18,8.0,1.0,,2016-08-27 15:25:17,261858613983318_631267147042461,64
19,4.0,,,2016-08-27 15:25:00,261858613983318_631267087042467,67
20,7.0,2.0,,2016-08-27 15:22:40,261858613983318_631266507042525,90
21,,,2.0,2016-05-26 19:48:41,261858613983318_588461537989689,9
22,1.0,,2.0,2016-05-26 19:48:28,261858613983318_588461427989700,25
23,,1.0,1.0,2016-05-26 19:46:47,261858613983318_588460744656435,16
24,2.0,3.0,3.0,2016-05-26 19:46:34,261858613983318_588460624656447,45
25,2.0,2.0,1.0,2016-05-26 19:46:14,261858613983318_588460507989792,52
26,4.0,2.0,1.0,2016-05-26 19:45:57,261858613983318_588460417989801,78
27,8.0,4.0,,2016-05-26 19:45:34,261858613983318_588460241323152,116
28,3.0,3.0,2.0,2016-05-26 19:45:04,261858613983318_588460121323164,172
29,3.0,1.0,,2016-05-26 19:44:35,261858613983318_588460047989838,23
30,1.0,,2.0,2016-05-26 19:44:19,261858613983318_588460011323175,31
31,2.0,,,2016-05-26 19:44:03,261858613983318_588459974656512,35
32,1.0,,,2016-05-26 19:43:50,261858613983318_588459937989849,5
33,,1.0,,2016-05-26 19:43:37,261858613983318_588459884656521,7
34,5.0,1.0,,2016-05-26 19:43:15,261858613983318_588459847989858,75
35,5.0,,,2016-05-26 19:43:01,261858613983318_588459817989861,28
36,8.0,6.0,13.0,2016-05-26 19:42:46,261858613983318_588459781323198,145
37,6.0,3.0,,2016-05-26 19:42:28,261858613983318_588459734656536,70
38,3.0,2.0,,2016-05-26 19:42:09,261858613983318_588459674656542,42
39,,,4.0,2016-05-26 19:41:54,261858613983318_588459651323211,20
40,4.0,4.0,,2016-05-26 19:41:38,261858613983318_588459581323218,86
41,7.0,,,2016-05-26 19:41:21,261858613983318_588459497989893,84
42,2.0,,1.0,2016-05-26 01:47:49,261858613983318_588178248018018,20
43,3.0,2.0,6.0,2016-05-26 01:47:32,261858613983318_588178208018022,76
44,1.0,,1.0,2016-05-26 01:46:55,261858613983318_588178104684699,16
45,2.0,2.0,,2016-05-26 01:46:36,261858613983318_588178091351367,32
46,,,,2016-05-26 01:46:24,261858613983318_588178031351373,9
47,9.0,10.0,7.0,2016-05-26 01:44:08,261858613983318_588177684684741,274
48,2.0,1.0,,2016-05-26 01:42:23,261858613983318_588177478018095,73
49,2.0,2.0,,2016-05-26 01:38:14,261858613983318_588176524684857,32
50,6.0,4.0,4.0,2016-05-26 01:36:33,261858613983318_588176251351551,172
51,2.0,2.0,8.0,2016-05-26 01:35:25,261858613983318_588176121351564,76
52,1.0,,,2016-05-26 01:34:19,261858613983318_588176044684905,24
53,4.0,6.0,4.0,2016-05-26 01:34:00,261858613983318_588175991351577,118
54,3.0,,,2016-05-26 01:33:39,261858613983318_588175954684914,31
55,1.0,,1.0,2016-05-26 01:33:27,261858613983318_588175911351585,45
56,3.0,1.0,1.0,2016-05-26 01:33:09,261858613983318_588175838018259,23
57,6.0,,,2016-05-26 01:32:55,261858613983318_588175608018282,57
58,1.0,,,2016-05-26 01:32:32,261858613983318_588175461351630,9
59,,,1.0,2016-05-26 01:32:24,261858613983318_588175434684966,15
60,,,,2016-05-26 01:31:51,261858613983318_588175358018307,43
61,1.0,,,2016-05-26 01:31:33,261858613983318_588175311351645,38
62,4.0,,5.0,2016-05-26 01:31:08,261858613983318_588175228018320,67
63,1.0,,2.0,2016-05-26 01:29:22,261858613983318_588174954685014,60
64,4.0,2.0,,2016-05-26 01:29:08,261858613983318_588174898018353,70
65,1.0,3.0,10.0,2016-05-26 01:28:42,261858613983318_588174854685024,106
66,1.0,,,2016-05-26 01:28:18,261858613983318_588174814685028,13
67,,,3.0,2016-05-26 01:28:03,261858613983318_588174778018365,24
68,2.0,1.0,1.0,2016-05-26 01:27:46,261858613983318_588174731351703,51
69,,,,2016-05-26 01:27:35,261858613983318_588174694685040,31
70,2.0,3.0,5.0,2016-05-26 01:27:24,261858613983318_588174668018376,50
71,4.0,2.0,2.0,2016-05-16 22:34:03,261858613983318_584069145095595,115
72,6.0,,2.0,2016-05-16 22:33:39,261858613983318_584069065095603,93
73,4.0,1.0,,2016-05-16 22:33:14,261858613983318_584068991762277,36
74,3.0,8.0,,2016-05-16 22:32:46,261858613983318_584068948428948,83
75,1.0,,,2016-05-16 22:32:34,261858613983318_584068928428950,16
76,6.0,4.0,,2016-05-16 22:32:16,261858613983318_584068878428955,72
77,1.0,1.0,1.0,2016-05-16 22:32:07,261858613983318_584068848428958,17
78,2.0,2.0,3.0,2016-05-16 22:31:58,261858613983318_584068798428963,45
