,Negemo,Posemo,Work
abandon,4.0,,
abandoned,3.0,,
"abandoned
like",1.0,,
abandoning,4.0,,
abandons,1.0,,
absent,,,3.0
absentee,,,1.0
abuse,20.0,,
abused,9.0,,
abuser,1.0,,
abusers,2.0,,
abuses,2.0,,
abusing,6.0,,
abusive,17.0,,
academia,,,6.0
academic,,,51.0
academically,,,29.0
academics,,,17.0
accept,,65.0,
acceptable,,24.0,
acceptance,,11.0,
acceptances,,1.0,
acceptant,,1.0,
accepted,,59.0,
accepting,,20.0,
accepts,,2.0,
accomplish,,,6.0
accomplished,,,12.0
accomplishes,,,1.0
accomplishing,,,1.0
accomplishment,,,3.0
accomplishments,,,10.0
ache,5.0,,
ached,1.0,,
aches,7.0,,
achieve,,,18.0
achieved,,,6.0
achievement,,,1.0
achievementoriented,,,1.0
achievements,,,4.0
achievementunlocked,,,1.0
achievers,,,1.0
achieving,,,8.0
aching,3.0,,
active,,14.0,
actively,,11.0,
administration,,,27.0
administrations,,,3.0
administrator,,,1.0
administrators,,,5.0
admirable,,2.0,
admiration,,7.0,
admire,,14.0,
admired,,2.0,
admirer,,7.0,
"admirer

",,1.0,
admirers,,1.0,
admiring,,6.0,
adorable,,17.0,
adorably,,1.0,
adore,,8.0,
adores,,3.0,
adorkably,,1.0,
advantage,,18.0,
advantages,,1.0,
adventure,,10.0,
adventures,,6.0,
adventurous,,1.0,
advertising,,,5.0
advise,,,7.0
advised,,,4.0
adviser,,,2.0
advisers,,,1.0
advising,,,4.0
advisor,,,5.0
advisordirectordeanprofessorsbursar,,,1.0
advisors,,,2.0
affection,,10.0,
affections,,1.0,
afraid,218.0,,
agent,,,3.0
agents,,,1.0
aggravating,1.0,,
aggression,3.0,,
aggressions,1.0,,
aggressive,9.0,,
aggressively,8.0,,
agonizingly,1.0,,
agony,3.0,,
agree,,50.0,
agreeable,,1.0,
agreed,,9.0,
agreeing,,2.0,
agreements,,1.0,
agrees,,1.0,
alarm,9.0,,
alarmbethe,1.0,,
alarmed,3.0,,
alarming,2.0,,
alarmingly,1.0,,
alarms,1.0,,
alone,313.0,,
alright,,23.0,
"alright

the",,1.0,
amazed,,5.0,
amazement,,1.0,
amazes,,1.0,
amazing,,157.0,
"amazing

big",,1.0,
"amazing

proved",,1.0,
"amazing

theres",,1.0,
amazingall,,1.0,
amazingexactly,,1.0,
amazingly,,10.0,
amazon,,5.0,
ambition,,,5.0
ambitions,,,6.0
ambitious,,,5.0
amuse,,1.0,
amusing,,2.0,
anger,38.0,,
angeredunsatisfiednegatively,1.0,,
angering,1.0,,
angers,1.0,,
angrily,2.0,,
angry,52.0,,
angrysad,1.0,,
anguish,2.0,,
anguisheven,1.0,,
annoy,8.0,,
annoyance,1.0,,
annoyances,2.0,,
annoyed,28.0,,
"annoyed
were",1.0,,
annoying,67.0,,
"annoying

",1.0,,
annoyingly,1.0,,
annoys,9.0,,
antagonise,1.0,,
antagonism,1.0,,
antagonistic,1.0,,
anxiety,73.0,,
anxietyflaws,1.0,,
anxious,22.0,,
anxiously,1.0,,
apathetic,7.0,,
apathy,8.0,,
appalled,6.0,,
appalling,3.0,,
applicant,,,3.0
applicants,,,5.0
application,,,17.0
applicationinterview,,,1.0
applications,,,13.0
appreciate,,77.0,
appreciated,,22.0,
appreciates,,4.0,
appreciating,,5.0,
appreciation,,6.0,
appreciative,,4.0,
apprehensive,4.0,,
argh,1.0,,
argue,12.0,,
argued,6.0,,
arguing,6.0,,
argument,25.0,,
"argument

admin",1.0,,
"argument

everyone",1.0,,
argumentative,1.0,,
arguments,9.0,,
argus,1.0,,
arrogance,4.0,,
arrogant,15.0,,
ashamed,34.0,,
"ashamed

for",1.0,,
"ashamed

still",1.0,,
assault,28.0,,
assaulted,13.0,,
"assaulted

i",1.0,,
asshole,61.0,,
"asshole

ive",1.0,,
"asshole

were",1.0,,
"asshole
again",1.0,,
"asshole
there",1.0,,
assholeidiot,1.0,,
assholeish,1.0,,
assholes,27.0,,
"assholes

if",1.0,,
"assholes

sincerely
someone",1.0,,
assign,,,1.0
assigned,,,3.0
assigning,,,2.0
assignment,,,9.0
assignments,,,15.0
assistance,,,3.0
assistant,,,1.0
assistantship,,,1.0
associate,,,16.0
associated,,,13.0
associating,,,5.0
association,,,4.0
assurance,,2.0,
assure,,2.0,
assured,,2.0,
assuring,,1.0,
attachment,,12.0,
attachments,,2.0,
attack,20.0,,
"attack

at",1.0,,
attacked,6.0,,
attackers,1.0,,
attacking,2.0,,
attacks,10.0,,
attract,,8.0,
attracted,,98.0,
attracting,,4.0,
attraction,,25.0,
attractions,,5.0,
attractive,,156.0,
attractiveness,,10.0,
attracts,,1.0,
auditorium,,,4.0
aversion,3.0,,
avoid,72.0,,
avoidant,2.0,,
avoided,5.0,,
avoiding,15.0,,
award,,4.0,4.0
awards,,4.0,4.0
awesome,,81.0,
awful,51.0,,
awkward,136.0,,
awkwardly,14.0,,
awkwardness,10.0,,
bad,404.0,,
bashfully,1.0,,
bastard,7.0,,
bastardos,1.0,,
bastards,2.0,,
battle,17.0,,
battled,3.0,,
battlefield,1.0,,
battlestar,1.0,,
battle”,1.0,,
