status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
496760523694278_1102225076502876,http://ritvikmath.com/SalaryDynamics/,Salary Dynamics in the University of California,link,http://ritvikmath.com/SalaryDynamics/,2016-08-14 20:55:56,0,0,0
496760523694278_1014163578620634,I w,,status,,2016-03-31 13:55:31,0,0,0
496760523694278_1056299267741533,UCPD be like,Please Don't Go - Joel Adams (audio),video,https://www.youtube.com/watch?v=WkPiVY3NTfg,2016-03-31 01:33:56,0,0,0
496760523694278_927932120577114,"Dear Stranger who was asking for donations on the Bart near Lake Merritt around 6.40pm 17th October 2015, Saturday,

I'm posting this here because You said you were from UC Berkeley. First of all, you're supposed to be asking for donations, not pressuring people to squeeze their wallets for you. 2nd, You humiliated me on the train right after I refused to donate and branded me as ""someone programmed to society."" When I told you ""im not from around here,"" you completely ignored what I said and insulted me in public. Your attitude disgusts me, and I hope you realize it yourself before it becomes a big problem for you.

Sincerely, Roxas",,status,,2015-10-17 21:05:02,0,1,0
496760523694278_868776503159343,"If there was an individual admitted to you school, with a known criminal record, was accepted due to false information (and the acceptance can not be reversed) what do you do? An individual with several counts of domestic abuse, yet no one ever pressed charges. Maybe just post a warning poster?",,status,,2015-06-04 22:54:28,0,0,0
496760523694278_779723002064694,"I once had sex on the pavement at 2am with this girl outside of Wheeler.. then again just outside the entrance of Doe. While she's blowing me, as I stood upright and the wind caressed my skin, I declared to my self...I AM KING OF THIS LAND.",,status,,2014-11-21 14:31:32,2,2,0
496760523694278_757862930917368,Julia Beals likes notifications please comment on this,,status,,2014-10-08 20:50:32,0,0,0
496760523694278_749544291749232,Check out the popular confessions website for Berkeley: http://www.confess.ly,,status,,2014-09-21 01:34:50,0,0,0
496760523694278_747944621909199,So this is pretty much dead huh?,,status,,2014-09-16 23:52:43,0,1,0
496760523694278_743359699034358,When is this going to start up again?,,status,,2014-09-04 23:22:37,0,0,0
