,Posemo,Negemo,Work,Date,Status_id,length_messages
0,,,,2016-08-14 20:55:56,496760523694278_1102225076502876,1
1,,,,2016-03-31 13:55:31,496760523694278_1014163578620634,2
2,1.0,,,2016-03-31 01:33:56,496760523694278_1056299267741533,3
3,2.0,6.0,1.0,2015-10-17 21:05:02,496760523694278_927932120577114,110
4,2.0,1.0,1.0,2015-06-04 22:54:28,496760523694278_868776503159343,51
5,,,,2014-11-21 14:31:32,496760523694278_779723002064694,47
6,2.0,,,2014-10-08 20:50:32,496760523694278_757862930917368,8
7,1.0,,,2014-09-21 01:34:50,496760523694278_749544291749232,9
8,1.0,,,2014-09-16 23:52:43,496760523694278_747944621909199,7
9,,,,2014-09-04 23:22:37,496760523694278_743359699034358,8
10,2.0,1.0,2.0,2014-07-16 17:26:46,496760523694278_721141174589544,32
11,10.0,4.0,9.0,2014-05-13 00:32:20,496760523694278_691557627547899,318
12,4.0,15.0,3.0,2014-05-10 22:08:05,496760523694278_690522080984787,217
13,7.0,4.0,3.0,2014-05-10 22:07:12,496760523694278_690521690984826,59
14,3.0,2.0,3.0,2014-05-10 22:06:36,496760523694278_690521407651521,106
15,,,2.0,2014-05-10 22:05:53,496760523694278_690521244318204,15
16,,,,2014-05-10 22:05:42,496760523694278_690521214318207,6
17,2.0,3.0,2.0,2014-05-10 22:05:23,496760523694278_690521140984881,63
18,2.0,,1.0,2014-05-10 22:03:06,496760523694278_690520550984940,91
19,2.0,,,2014-05-10 22:01:20,496760523694278_690520230984972,15
20,5.0,2.0,1.0,2014-05-08 19:20:01,496760523694278_689606401076355,67
21,1.0,,,2014-05-07 15:38:58,496760523694278_689096811127314,24
22,,2.0,,2014-05-07 15:38:35,496760523694278_689096751127320,51
23,8.0,8.0,11.0,2014-05-07 15:37:01,496760523694278_689096347794027,254
24,1.0,2.0,,2014-05-07 15:35:43,496760523694278_689096034460725,27
25,1.0,,,2014-05-07 15:35:29,496760523694278_689095997794062,32
26,4.0,3.0,,2014-05-07 15:34:36,496760523694278_689095797794082,84
27,1.0,1.0,3.0,2014-05-07 15:33:47,496760523694278_689095581127437,93
28,,,1.0,2014-05-07 15:33:22,496760523694278_689095464460782,49
29,3.0,4.0,,2014-05-07 15:32:54,496760523694278_689095217794140,199
30,5.0,,2.0,2014-05-06 18:59:47,496760523694278_688733661163629,103
31,12.0,11.0,13.0,2014-05-06 18:59:41,496760523694278_688733591163636,193
32,,,,2014-05-06 18:59:35,496760523694278_688733561163639,8
33,1.0,,,2014-05-06 18:51:51,496760523694278_688731841163811,28
34,3.0,1.0,,2014-05-06 18:51:31,496760523694278_688731721163823,30
35,,2.0,,2014-05-06 18:50:29,496760523694278_688731491163846,66
36,5.0,8.0,3.0,2014-05-06 18:49:25,496760523694278_688731251163870,159
37,,,,2014-05-06 18:48:29,496760523694278_688731001163895,27
38,1.0,,,2014-05-06 18:48:17,496760523694278_688730974497231,38
39,,1.0,,2014-05-06 18:48:07,496760523694278_688730934497235,11
40,1.0,2.0,3.0,2014-05-06 18:47:57,496760523694278_688730897830572,39
