,Negemo,Posemo,Work
abandoned,1.0,,
abuse,4.0,,
abused,2.0,,
abusing,3.0,,
abusive,3.0,,
academia,,,1.0
academic,,,11.0
academically,,,5.0
academics,,,2.0
accept,,11.0,
acceptable,,3.0,
acceptance,,6.0,
acceptancenative,,1.0,
acceptances,,1.0,
accepted,,9.0,
accepting,,4.0,
accomplish,,,1.0
accomplished,,,4.0
accomplishes,,,1.0
accomplishment,,,2.0
achieve,,,1.0
achieved,,,2.0
achievement,,,1.0
achievements,,,1.0
active,,2.0,
actively,,2.0,
administration,,,1.0
admirable,,1.0,
admire,,5.0,
admirer,,6.0,
admirermaybe,,1.0,
admiring,,1.0,
adorable,,11.0,
adorablethe,,1.0,
adore,,2.0,
advantage,,3.0,
adventurous,,1.0,
advertising,,,1.0
advise,,,3.0
advisers,,,1.0
affection,,1.0,
afraid,48.0,,
aggressive,5.0,,
agree,,10.0,
agreed,,5.0,
agreement,,1.0,
alone,52.0,,
alright,,3.0,
amazing,,39.0,
amazingwhere,,1.0,
amazon,,3.0,
ambitious,,,1.0
anger,5.0,,
angrily,1.0,,
angry,12.0,,
anguish,1.0,,
annoy,1.0,,
"annoy

2",1.0,,
annoyed,8.0,,
annoying,44.0,,
"annoying
besides",1.0,,
"annoying
she",1.0,,
annoys,4.0,,
anxiety,2.0,,
anxious,5.0,,
applicant,,,1.0
applicants,,,2.0
application,,,1.0
"application

within",,,1.0
appreciate,,9.0,
appreciated,,4.0,
appreciating,,1.0,
appreciation,,1.0,
apprehensive,1.0,,
arguably,1.0,,
argue,1.0,,
arguing,2.0,,
argument,4.0,,
argumentative,1.0,,
arguments,3.0,,
arrogant,1.0,,
ashamed,7.0,,
assault,2.0,,
assaults,1.0,,
asshole,19.0,,
assholes,13.0,,
assigned,,,3.0
assignments,,,1.0
assistance,,,1.0
assistant,,,1.0
associate,,,3.0
associated,,,1.0
association,,,1.0
assure,,3.0,
attachment,,1.0,
attack,4.0,,
"attack
this",1.0,,
attacked,2.0,,
attacking,2.0,,
attacks,1.0,,
attract,,2.0,
attracted,,17.0,
attraction,,4.0,
attractive,,51.0,
aversion,1.0,,
avoid,11.0,,
avoided,2.0,,
avoiding,2.0,,
awesome,,19.0,
awful,6.0,,
awkward,36.0,,
"awkward

before",1.0,,
awkwardly,4.0,,
awkwardness,1.0,,
bad,107.0,,
bastard,4.0,,
battle,1.0,,
battled,1.0,,
battlefield,1.0,,
battles,1.0,,
battling,1.0,,
beaten,3.0,,3.0
beauties,,1.0,
beautiful,,80.0,
beautifuleven,,1.0,
beautifully,,2.0,
beauty,,9.0,
benefit,,4.0,
benefits,,2.0,2.0
best,,78.0,
better,,113.0,
biologically,,,1.0
biology,,,6.0
bitch,47.0,,
bitches,20.0,,
"bitches
",1.0,,
bitching,6.0,,
bitter,3.0,,
"bitter

this",1.0,,
bitterly,1.0,,
bittersweet,2.0,,
blackboard,,,1.0
blame,8.0,,
blaming,2.0,,
bldglol,,,1.0
bless,,8.0,
blessed,,3.0,
blessing,,1.0,
blessings,,1.0,
bold,,1.0,
book,,,11.0
bookcases,,,1.0
books,,,9.0
bookshelves,,,2.0
booksnotes,,,1.0
bored,1.0,,
boring,10.0,,
boss,,,2.0
bother,7.0,,
bothered,4.0,,
bothering,5.0,,
bothers,4.0,,
brave,,5.0,
bright,,5.0,
brighten,,4.0,
brightened,,2.0,
brightens,,1.0,
brighter,,1.0,
brilliant,,4.0,
broke,19.0,,
burden,1.0,,
bureaucratic,,,1.0
business,,,11.0
businesses,,,1.0
businessweek,,,1.0
busy,,,6.0
cafeteria,,,1.0
calculus,,,1.0
calm,,3.0,
calming,,1.0,
calmness,,1.0,
campus,,,115.0
campusim,,,1.0
campuswide,,,1.0
care,,57.0,
cared,,4.0,
career,,,5.0
careers,,,1.0
careful,,2.0,
"careful
last",,1.0,
carefully,,3.0,
cares,,9.0,
caring,,9.0,
casual,,4.0,
casually,,6.0,
certain,,16.0,
certainly,,3.0,
chalk,,,4.0
challenge,,2.0,2.0
challenged,,1.0,1.0
challenges,,1.0,1.0
challenging,,2.0,2.0
champ,,1.0,1.0
champagne,,1.0,1.0
charity,,1.0,
charming,,3.0,
cheat,3.0,,
cheated,7.0,,
cheating,4.0,,
cheer,,4.0,
cheerful,,1.0,
cheerleaders,,2.0,
cheers,,1.0,
cherish,,1.0,
cherished,,1.0,
class,,,153.0
classes,,,64.0
classmate,,,1.0
classmates,,,2.0
classroom,,,5.0
clever,,3.0,
collaborative,,,1.0
colleague,,,1.0
college,,,80.0
"college

here",,,1.0
"college

so",,,1.0
collegeall,,,1.0
colleges,,,1.0
com,,,1.0
comedian,,1.0,
comedy,,2.0,
comfort,,7.0,
comfortable,,18.0,
comfortablenot,,1.0,
comfortably,,1.0,
comforting,,1.0,
commitment,,3.0,
commitments,,1.0,
commuting,,,1.0
companies,,,1.0
company,,,6.0
compassionate,,2.0,
complain,13.0,,
complained,3.0,,
complaining,10.0,,
complains,2.0,,
complaints,4.0,,
compliment,,6.0,
"compliment

to",,1.0,
compliments,,2.0,
computer,,,8.0
computers,,,2.0
conference,,,1.0
confidence,,9.0,
confident,,6.0,
confidently,,2.0,
confront,2.0,,
confuse,3.0,,
confused,10.0,,
confuses,2.0,,
confusing,2.0,,
confusion,3.0,,
considerate,,6.0,
consultant,,,1.0
consulting,,,2.0
contradictory,1.0,,
convince,,5.0,
convinced,,4.0,
convinces,,1.0,
cool,,24.0,
corporate,,,1.0
corporations,,,1.0
counseling,,,1.0
counselor,,,1.0
courage,,21.0,
course,,,16.0
courses,,,7.0
coworker,,,2.0
coworkers,,,2.0
crap,9.0,,
crazy,26.0,,
create,,9.0,
created,,5.0,
creates,,3.0,
creating,,1.0,
creative,,3.0,
credit,,1.0,1.0
creditdebit,,1.0,1.0
credits,,1.0,1.0
cried,8.0,,
criticism,1.0,,
criticize,1.0,,
criticizes,1.0,,
cruel,2.0,,
cruelty,3.0,,
crushed,1.0,,
cry,17.0,,
crying,9.0,,
cubicle,,,1.0
cunt,6.0,,
cunts,3.0,,
customers,,,1.0
cut,21.0,,
cute,,137.0,
"cute
if",,1.0,
"cute
please",,1.0,
cutecan,,1.0,
cuteness,,1.0,
cuter,,1.0,
"cuter
is",,1.0,
cutest,,14.0,
cutesy,,1.0,
cutie,,4.0,
cynical,1.0,,
damage,1.0,,
damagebulletproof,1.0,,
damaged,1.0,,
damages,1.0,,
damn,78.0,,
damned,3.0,,
damnnn,3.0,,
damnnnn,1.0,,
danger,3.0,,
dangerous,5.0,,
daring,,1.0,
darling,,1.0,
dean,,,2.0
dear,,7.0,
dearest,,1.0,
dearly,,1.0,
defeating,1.0,,
defense,2.0,,
defensive,1.0,,
definite,,2.0,
definitely,,16.0,
degraded,1.0,,
degrading,2.0,,
delicious,,4.0,
delight,,1.0,
delighted,,1.0,
delightfully,,1.0,
department,,,5.0
depressed,17.0,,
depressed…,1.0,,
depresses,1.0,,
depressing,2.0,,
depression,10.0,,
"depression

anyone",1.0,,
deprivation,1.0,,
deprive,1.0,,
deprived,1.0,,
desk,,,7.0
desktop,,,1.0
desperate,8.0,,
desperately,6.0,,
despise,2.0,,
destroy,2.0,,
destroyed,1.0,,
destroying,2.0,,
destructive,3.0,,
determined,,3.0,
devastate,1.0,,
devastated,2.0,,
devil,1.0,,
devote,,1.0,
difficult,20.0,,
difficulties,1.0,,
difficulty,3.0,,
disadvantaged,2.0,,
disadvantages,2.0,,
disagree,1.0,,
disagrees,1.0,,
disappoint,5.0,,
disappointed,5.0,,
disappointing,3.0,,
disappointingly,1.0,,
disappointment,5.0,,
disappointments,1.0,,
discomfort,1.0,,
disgust,3.0,,
disgusted,6.0,,
disgustedscared,1.0,,
disgustfear,1.0,,
disgusting,13.0,,
disgustingly,1.0,,
disgusts,1.0,,
disheartened,1.0,,
disheartening,1.0,,
dislike,5.0,,
dismay,1.0,,
dissatisfied,1.0,,
distract,3.0,,
distracted,3.0,,
distracting,2.0,,
distraction,2.0,,
distractions,1.0,,
disturbed,1.0,,
disturbing,4.0,,
divine,,1.0,
diving,,1.0,
doctor,,,4.0
doctorlawyerengineer,,,1.0
doctors,,,4.0
dominance,1.0,,
dominant,5.0,,
dominate,1.0,,
domination,1.0,,
dominatrix,1.0,,
doom,1.0,,
dorks,1.0,,
dorky,1.0,,
dorm,,,27.0
dorms,,,11.0
doubt,6.0,,
doubting,1.0,,
doubts,1.0,,
dread,2.0,,
dreaded,1.0,,
dreadful,1.0,,
dropout,,,1.0
dullness,1.0,,
dumb,13.0,,
dumbass,3.0,,
dumbfucks,1.0,,
dumbo,1.0,,
dump,1.0,,
dumped,2.0,,
dumps,2.0,,
eager,,1.0,
earn,,,1.0
earned,,,2.0
earning,,,1.0
earnings,,,1.0
ease,,2.0,
easier,,16.0,
easily,,4.0,
easy,,29.0,
