,date,message
0,2016-08-14 20:56:11,ttp://ritvikmath.com/SalaryDynamics/
1,2016-03-31 13:31:12,w
2,2016-03-31 01:56:14,CPD be like
3,2015-10-17 21:02:15,"ear Stranger who was asking for donations on the Bart near Lake Merritt around 6.40pm 17th October 2015, Saturday,

I'm posting this here because You said you were from UC Berkeley. First of all, you're supposed to be asking for donations, not pressuring people to squeeze their wallets for you. 2nd, You humiliated me on the train right after I refused to donate and branded me as ""someone programmed to society."" When I told you ""im not from around here,"" you completely ignored what I said and insulted me in public. Your attitude disgusts me, and I hope you realize it yourself before it becomes a big problem for you.

Sincerely, Roxas"
4,2015-06-04 22:28:16,"f there was an individual admitted to you school, with a known criminal record, was accepted due to false information (and the acceptance can not be reversed) what do you do? An individual with several counts of domestic abuse, yet no one ever pressed charges. Maybe just post a warning poster?"
5,2014-11-21 14:32:17,"once had sex on the pavement at 2am with this girl outside of Wheeler.. then again just outside the entrance of Doe. While she's blowing me, as I stood upright and the wind caressed my skin, I declared to my self...I AM KING OF THIS LAND."
6,2014-10-08 20:32:19,ulia Beals likes notifications please comment on this
7,2014-09-21 01:50:20,heck out the popular confessions website for Berkeley: http://www.confess.ly
8,2014-09-16 23:43:21,o this is pretty much dead huh?
9,2014-09-04 23:37:23,hen is this going to start up again?
10,2014-07-16 17:46:25,"like to study right on Sather gate so its easier to spot pretty women while i study. knock out two birds with one stone, but alot of women are really shy"
11,2014-05-13 00:20:26,"'ve been studying all night for my 8 AM final. A couple minutes ago I realized that I needed a little study/pee break, so I went into the bathroom and took care of my business. Then I realized I was slightly horny and wasn't quite ready to go back to work, so I went back into the handicapped stall, whipped out da Hub on my cellular phone. Once I had found a vid of some German milf blowing ""police officers,"" I pulled out my Johnson and started beating the monkey. It is important to note that I have my peen in one hand and my phone in the other. Its slightly precarious, but I make it work. After a couple minutes, the video started getting weird (those Germans :/) so I decided I should switch it up a little. I went back to the home page and skipped through a couple pages, found something that looked suitable for the job, and went back to it. The video started a little slow though, so I repositioned my grip with my phone hand so that I could move the video ahead a bit. My phone started to slip out of my hand, headed directly for the disgusting handicapped toilet bowl. *GASP!!* I squirmed to save my phone and just in time juggled it against my body, pressing it into my chest. Safety. I regained composure, carefully skipped the video ahead past the opening credits, and continue with the deed. When I came, it was the sweet, victorious cum of a man who had stared doom strait in the face and won. At that moment, like Andy Dufresne, I could have crawled through a quarter mile of shit and come out a clean man. Plus, my phone still works and isn't covered in toilet water!
In related news, I am stoked to be moving out of the dorms in 4 days! #tp"
