status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
590134557680030_1329150067111805,"#4021
Graduation probably means leaving the country. Being gay, I've always wanted to be with an american guy. But I've come to realize that this might have been a fantasy all along. I only hope that leaving this place will help me put it behind. After all, it hurts feeling affectionate about someone who doesn't feel the same.",,status,,2016-05-16 09:24:14,8,1,0
590134557680030_1328147583878720,"#4020
My boyfriend and I will be attempting a long-distance relationship after we graduate in a few days. Although we successfully did long distance during the time I was studying abroad and the summer following, I am scared for this attempt at long distance because we will both be starting new jobs in different cities, with no exact plan of when we might close the distance gap. 

I am not normally someone to get sentimental over goodbyes, but I've had a connection with my boyfriend that I've had with very few people in my life. I fear that the distance will be the end to our relationship in the near future.",,status,,2016-05-14 22:36:05,14,1,0
590134557680030_1328067743886704,"#4019
The other day, I said goodbye to someone I’ve come to truly care for this semester, and even though I know I’ll see him again in just a few months, I can’t help but wonder whether I missed my only opportunity to tell him how I feel. I confess that I cried a bit that night, but I’m happy I did. It’s been a long time since I’ve set my emotions free without berating myself for weakness. Honestly, I think it takes strength to feel, and I’m so glad I feel again.",,status,,2016-05-14 19:13:55,45,1,0
590134557680030_1327855670574578,"#4018
Last fall my semester GPA was in the low 3.00 and this semester I didn't even get above 3.00. As a result, my cumulative GPA, which is in the mid 3.00, suffered greatly. Now I'm graduating in few days so I don't even have a chance to amend this and I will be applying for PhD programs almost as soon as I start my master's this fall, so I'm pretty much screwed.",,status,,2016-05-14 12:00:34,2,3,0
590134557680030_1326445260715619,"#4017
On Sunday evening, I went to the ER and spent two nights in the psychiatric unit for suicidal reasons. I was two steps away from swallowing a handful of pills. 

I'm not sure what I feel about myself... But I think I'm happy I chose to live.",,status,,2016-05-12 08:21:35,102,1,0
590134557680030_1326445164048962,"#4016
My girlfriend has been trying for her entire life to get into med school, focusing all of her energies during undergrad to get a decent GPA and high MCAT scores. Now, she still isn't accepted and I feel like she's changing into a different person, someone I don't like. 

How can I help her? Also cause we're both graduating and thinking about doing long distance, I'm not sure if that's a good idea. I wouldn't usually post here, but I have no one else to turn to. I don't want to tell my friends or they'll know, but would really like some advice.",,status,,2016-05-12 08:21:25,1,2,0
590134557680030_1326444910715654,"#4015
I got a C- in my graduating semester, and am utterly distraught... Would the business school not allow me to graduate under this circumstance? 😢",,status,,2016-05-12 08:21:12,0,0,0
590134557680030_1326444870715658,"#4014
I have a hand fetish, but my boyfriend doesn't know.",,status,,2016-05-12 08:21:05,0,0,0
590134557680030_1326049620755183,"#4013
The love of my life broke up with me a few weeks ago.... It's really torn me inside out. I now write letters to her. I don't intend to ever show her those letters, but I share them in a folder that I would use to send her stuff. She rarely uses it, but deep down I hope that she finds them sometime, even if it is years from now. I loved talking to her and now that I lost her as my best friend I just letters. Most of them are stupid, just talking about what I am doing or what I did, but they remind me of the time I spent with her and I feel better. They wont change anything, but they reflect how she changed my life for the better, and even though we have broken up, I wish her the best of luck. Sorry for rambling, but I just had to share with someone",,status,,2016-05-11 17:21:27,44,0,0
590134557680030_1326049527421859,"#4012
If there is one thing I am looking forward to as a graduating senior, it is to finally manage to sell all of my furniture and free myself, my sanity and my Facebook from this group called Free & For Sale.",,status,,2016-05-11 17:21:03,13,0,0
590134557680030_1326049490755196,"#4011
I'm a 5'3"" tall girl, and I can eat a whole pizza by myself, easy.",,status,,2016-05-11 17:20:50,30,2,0
590134557680030_1324005457626266,"#4010
I'm determined to avoid $100 in Res Life charges with $3 worth of super glue.",,status,,2016-05-08 15:49:46,25,0,0
590134557680030_1324005074292971,"#4009
I drank too much yesterday, in terms of alcohol.",,status,,2016-05-08 15:48:59,1,1,0
590134557680030_1322423231117822,"#4008
The wifi here is embarrassingly bad. I shouldn't be failing bio reading quizzes because I get randomly disconnected and can't reconnect.",,status,,2016-05-06 13:20:37,25,3,0
590134557680030_1321857427841069,"#4007
Carvings found in my desk in Olin library: 

me+u= :),
someone love me, sex and bio is a lie

What do they mean???",,status,,2016-05-05 19:00:11,18,0,0
590134557680030_1321857251174420,"#4006
#4003, I don't know you or your situation, but I feel like I might have a very similar relationship with my family. I just wanted to say that you're not alone. Your feelings are so, so valid and as someone who's also dreading the thought of going home for the summer, I feel you. Sending love <3",,status,,2016-05-05 18:59:29,11,0,0
590134557680030_1321853637841448,"#4005
I just tried to kill a cockroach with a newspaper, but it turns out it was still alive so I threw the newspaper in the toilet, and watched the cockroach run somewhere around the edge of the toilet bowl. Now I don't know where it is and I have a fucking roll of newspaper in my toilet",,status,,2016-05-05 18:54:16,65,2,0
590134557680030_1321701701189975,"#4004
I'm polyamorous and am terrified of judgment from people who think I'm being greedy or unfaithful. I love all my partners so incredibly much and I just wish people could understand that.",,status,,2016-05-05 13:47:33,5,1,0
590134557680030_1321587124534766,"#4003
I'm scared to go home this summer because my family and I have had some history of not getting along well. We're on good terms now but I attribute it to the distance. I have no idea what it would be like to spend 3 months with them again. It's making me anxious. On top of that, I've been feeling out of it and unhappy. Smiling has become an effort and I know I am acting standoffish and aloof. yet I can't help it. I wish I was normal and had someone who loved me.",,status,,2016-05-05 11:15:14,11,3,0
590134557680030_1321036614589817,"#4002
I wonder a lot whether my friends enjoy being around me as much as I enjoy being around them.",,status,,2016-05-04 15:46:27,34,0,1
590134557680030_1318521484841330,"#4001
I feel like there need to be more/better spaces for people who don't go to WILD. Whether it's due to social anxiety, problems with alcoholism, claustrophobia, etc., WILD is definitely not the event for everyone. There need to be alternative opportunities on campus, safe spaces, where we can get away from the drama and the parties. This whole campus shuts down on the day of WILD, and there's nothing else to do and nowhere else to go. Staying in one's room isn't enough and can still pose problems.",,status,,2016-04-30 23:51:28,17,2,0
590134557680030_1318521464841332,"#4000
I have very little work ethic, compared to most others at WashU. I think I am pretty aspiring... I'm a science major who wants to go to graduate school. But I'm mostly a C student, and I cant help but feel like I'm a disappointment to a lot of people. I can't seem to motivate myself to study as hard as I should-- not even a little bit. I feel like a failure. I don't know what to do.",,status,,2016-04-30 23:51:19,16,5,0
