,Negemo,Posemo,Work
abandon,5.0,,
abandoned,8.0,,
absent,,,3.0
abuse,27.0,,
abused,9.0,,
abusers,4.0,,
abuses,1.0,,
abusive,7.0,,
academia,,,6.0
academiarelated,,,1.0
academic,,,40.0
academically,,,18.0
academics,,,16.0
academy,,,1.0
accept,,39.0,
acceptable,,13.0,
acceptance,,8.0,
"acceptance

please",,1.0,
acceptances,,1.0,
accepted,,37.0,
accepting,,18.0,
accepts,,1.0,
accomplish,,,6.0
accomplished,,,9.0
accomplishing,,,1.0
accomplishment,,,1.0
accomplishments,,,5.0
ache,1.0,,
aches,1.0,,
achieve,,,11.0
achieved,,,10.0
achievement,,,1.0
achievements,,,5.0
achieving,,,4.0
active,,10.0,
actively,,2.0,
administration,,,34.0
administrations,,,4.0
administrationwupds,,,1.0
administratively,,,1.0
administrator,,,13.0
administrators,,,4.0
admirable,,1.0,
admiration,,2.0,
admirations,,1.0,
admire,,14.0,
admirer,,1.0,
admirers,,49.0,
admirersstyle,,1.0,
admires,,1.0,
admiring,,1.0,
adorable,,3.0,
adore,,3.0,
advantage,,18.0,
advantages,,1.0,
adventure,,3.0,
advertising,,,1.0
advise,,,1.0
advised,,,2.0
advisor,,,1.0
advisors,,,5.0
affection,,5.0,
affectionate,,3.0,
afraid,90.0,,
aggravation,1.0,,
aggressive,5.0,,
aggressiveness,1.0,,
agonizing,1.0,,
agony,3.0,,
agree,,43.0,
agreed,,5.0,
agreeing,,1.0,
agreement,,3.0,
agrees,,2.0,
alarm,4.0,,
alarmed,1.0,,
alarming,1.0,,
alarms,2.0,,
alone,104.0,,
alright,,8.0,
amaze,,1.0,
amazed,,3.0,
amazes,,3.0,
amazing,,62.0,
"amazing

i",,1.0,
amazon,,2.0,
ambition,,,2.0
"ambition

good",,,1.0
ambitions,,,1.0
ambitious,,,5.0
amorphous,,1.0,
amused,,1.0,
amusement,,1.0,
"amusements

i",,1.0,
amusical,,4.0,
amusicality,,2.0,
amusing,,2.0,
anger,13.0,,
angered,1.0,,
angerinducing,1.0,,
angriest,1.0,,
angry,29.0,,
annoyance,1.0,,
annoyed,19.0,,
annoying,17.0,,
annoys,8.0,,
antagonism,1.0,,
antagonize,1.0,,
anxieties,1.0,,
anxiety,54.0,,
anxietyinducing,1.0,,
anxious,17.0,,
anxiously,3.0,,
anxiousness,1.0,,
apathetic,4.0,,
apathy,3.0,,
apathyattitude,1.0,,
appalled,6.0,,
appalling,1.0,,
applicant,,,2.0
applicants,,,5.0
application,,,15.0
applications,,,11.0
appreciate,,55.0,
appreciated,,15.0,
appreciates,,1.0,
appreciating,,2.0,
appreciation,,6.0,
appreciative,,1.0,
apprehensive,1.0,,
arguably,1.0,,
argue,7.0,,
argued,1.0,,
arguing,7.0,,
argument,13.0,,
argumentative,1.0,,
arguments,9.0,,
arrogance,2.0,,
arrogant,5.0,,
ashamed,36.0,,
"ashamed

i",1.0,,
assault,16.0,,
assaulted,9.0,,
"assaulted

i",1.0,,
"assaultrape
some",1.0,,
assaults,1.0,,
asshole,20.0,,
assholery,1.0,,
assholes,8.0,,
assigned,,,4.0
assignment,,,6.0
assignments,,,4.0
assistance,,,3.0
assistant,,,1.0
associate,,,3.0
associated,,,6.0
associating,,,1.0
association,,,13.0
associations,,,1.0
assure,,2.0,
assured,,7.0,
assures,,2.0,
attachment,,1.0,
attachments,,1.0,
attack,24.0,,
attacked,7.0,,
attacks,10.0,,
attract,,2.0,
attracted,,27.0,
attracting,,2.0,
attraction,,1.0,
attractions,,1.0,
attractive,,51.0,
"attractive

frankly",,1.0,
attractiveness,,2.0,
auditorium,,,3.0
aversion,1.0,,
aversive,2.0,,
avoid,36.0,,
avoidance,1.0,,
avoided,5.0,,
avoiding,4.0,,
avoids,1.0,,
award,,2.0,2.0
awarded,,2.0,2.0
awesome,,55.0,
awful,15.0,,
awkward,43.0,,
awkwardfreshman,1.0,,
awkwardi,1.0,,
awkwardly,4.0,,
awkwardness,4.0,,
awkwardnesspotential,1.0,,
bad,193.0,,
bashful,1.0,,
bastard,3.0,,
bastards,2.0,,
battle,9.0,,
"battle

i’m",1.0,,
battled,1.0,,
battles,1.0,,
beaten,4.0,,4.0
beautiful,,36.0,
"beautiful
i",,1.0,
beautifully,,2.0,
beautiful”,,1.0,
beauty,,12.0,
beautya,,1.0,
beneficial,,3.0,
benefit,,11.0,
benefits,,6.0,6.0
benefitting,,2.0,
best,,201.0,
better,,228.0,
biology,,,3.0
bitch,16.0,,
bitched,1.0,,
bitches,8.0,,
bitchh,1.0,,
bitching,4.0,,
bitchy,1.0,,
bitch”,1.0,,
bitter,9.0,,
bitterly,2.0,,
blackboard,,,5.0
blame,31.0,,
"blame

",1.0,,
blamed,3.0,,
blamei,1.0,,
blameless,2.0,,
blames,1.0,,
blaming,7.0,,
bless,,1.0,
blessed,,8.0,
blessing,,1.0,
blessings,,2.0,
bless”,,1.0,
bold,,3.0,
bonus,,2.0,
"bonus

nationwide",,1.0,
book,,,26.0
booked,,,2.0
booking,,,1.0
books,,,12.0
"books

its",,,1.0
bookstore,,,4.0
bookstores,,,1.0
bookworms,,,1.0
bored,4.0,,
boredom,1.0,,
boring,13.0,,
boss,,,6.0
"boss

it",,,1.0
bossed,,,1.0
bother,11.0,,
bothered,18.0,,
bothering,3.0,,
bothers,9.0,,
brave,,2.0,
braver,,2.0,
bravery,,2.0,
bright,,6.0,
brighten,,4.0,
brightening,,1.0,
brighter,,2.0,
"brighter

hopefully",,1.0,
brightest,,1.0,
brilliant,,5.0,
broke,39.0,,
brutal,2.0,,
brutality,3.0,,
brutalityrace,1.0,,
brutalized,1.0,,
brutally,1.0,,
burden,12.0,,
burdened,1.0,,
burdens,3.0,,
burdensome,2.0,,
business,,,35.0
"business

i",,,1.0
businesses,,,5.0
business”,,,1.0
busy,,,20.0
calculus,,,1.0
calm,,5.0,
calmed,,2.0,
calming,,3.0,
campus,,,373.0
"campus

i",,,1.0
"campus

id",,,1.0
"campus

let",,,1.0
"campus

link",,,1.0
"campus

looking",,,1.0
"campus

shoutout",,,1.0
"campus

the",,,1.0
"campus

we",,,1.0
"campus
my",,,1.0
campusand,,,1.0
campuses,,,1.0
campusmost,,,1.0
campuss,,,3.0
care,,174.0,
cared,,10.0,
career,,,28.0
careerlink,,,1.0
careerwise,,,1.0
carefree,,1.0,
careful,,6.0,
carefully,,4.0,
carelessly,1.0,,
cares,,29.0,
caring,,18.0,
casual,,11.0,
casually,,8.0,
ceo,,,3.0
ceos,,,1.0
certain,,38.0,
certainly,,22.0,
certified,,,1.0
certified”,,,1.0
chalk,,,1.0
challenge,,12.0,12.0
challenged,,4.0,4.0
challenges,,1.0,1.0
challenging,,6.0,6.0
champ,,1.0,1.0
champion,,1.0,1.0
championships,,1.0,1.0
charitable,,1.0,
"charitable

and",,1.0,
charities,,1.0,
charity,,2.0,
charm,,1.0,
charmed,,1.0,
charming,,2.0,
charms,,1.0,
cheat,7.0,,
cheated,16.0,,
cheater,1.0,,
cheaters,2.0,,
cheating,11.0,,
cheats,3.0,,
cheer,,5.0,
cheerful,,3.0,
cheering,,4.0,
cheers,,1.0,
cheery,,1.0,
cherish,,2.0,
cherished,,1.0,
class,,,217.0
classes,,,139.0
classmate,,,3.0
classmates,,,18.0
classroom,,,10.0
clever,,4.0,
