,Posemo,Negemo,Work,Date,Status_id,length_messages
0,1.0,,,2016-10-25 10:00:01,462508190484900_1201845296551182,23
1,2.0,1.0,,2016-10-25 10:00:01,462508190484900_1201845776551134,31
2,2.0,,1.0,2016-10-25 10:00:00,462508190484900_1201845423217836,18
3,,2.0,,2016-10-25 10:00:00,462508190484900_1201845609884484,18
4,1.0,1.0,,2016-10-25 09:59:01,462508190484900_1201844913217887,14
5,1.0,,1.0,2016-10-25 09:59:00,462508190484900_1201845013217877,14
6,1.0,,,2016-10-25 09:59:00,462508190484900_1201845136551198,18
7,1.0,3.0,,2016-10-25 09:59:00,462508190484900_1201844819884563,27
8,,,,2016-10-25 09:57:00,462508190484900_1201843683218010,22
9,,,1.0,2016-10-25 09:57:00,462508190484900_1201843906551321,46
10,,1.0,,2016-10-25 09:57:00,462508190484900_1201843786551333,30
11,1.0,,2.0,2016-10-23 02:28:00,462508190484900_1199620336773678,26
12,,1.0,,2016-10-23 02:28:00,462508190484900_1199620200107025,26
13,15.0,4.0,5.0,2016-10-23 02:27:00,462508190484900_1199620023440376,172
14,1.0,1.0,,2016-10-23 02:27:00,462508190484900_1199619860107059,37
15,1.0,1.0,,2016-10-23 02:27:00,462508190484900_1199620133440365,11
16,,1.0,1.0,2016-10-23 02:25:00,462508190484900_1199619413440437,25
17,2.0,2.0,1.0,2016-10-23 02:25:00,462508190484900_1199619343440444,27
18,6.0,,2.0,2016-10-23 02:24:00,462508190484900_1199618900107155,115
19,,2.0,,2016-10-23 02:24:00,462508190484900_1199618743440504,29
20,1.0,,,2016-10-23 02:24:00,462508190484900_1199619050107140,10
21,3.0,,1.0,2016-10-23 02:23:01,462508190484900_1199618116773900,39
22,,2.0,,2016-10-23 02:23:00,462508190484900_1199618413440537,10
23,,1.0,,2016-10-23 02:23:00,462508190484900_1199618263440552,12
24,1.0,,,2016-10-23 02:22:00,462508190484900_1199617873440591,23
25,,1.0,,2016-10-23 02:22:00,462508190484900_1199617600107285,26
26,1.0,,,2016-10-23 02:22:00,462508190484900_1199617986773913,15
27,,4.0,,2016-10-23 02:21:01,462508190484900_1199617140107331,42
28,,,3.0,2016-10-23 02:21:00,462508190484900_1199617433440635,27
29,2.0,,6.0,2016-10-23 02:21:00,462508190484900_1199617290107316,68
30,1.0,,,2016-10-23 02:20:00,462508190484900_1199616976774014,22
31,,1.0,2.0,2016-10-23 02:20:00,462508190484900_1199617070107338,37
32,,1.0,1.0,2016-10-20 23:13:00,462508190484900_1197538640315181,21
33,,,,2016-10-20 23:13:00,462508190484900_1197538746981837,20
34,,,1.0,2016-10-20 23:13:00,462508190484900_1197538893648489,12
35,3.0,,,2016-10-20 23:12:00,462508190484900_1197537886981923,64
36,7.0,12.0,18.0,2016-10-20 23:12:00,462508190484900_1197538203648558,397
37,,,1.0,2016-10-20 23:11:00,462508190484900_1197537633648615,13
38,8.0,4.0,1.0,2016-10-20 23:11:00,462508190484900_1197537533648625,194
39,,1.0,,2016-10-20 23:11:00,462508190484900_1197537746981937,13
40,,1.0,,2016-10-20 23:10:01,462508190484900_1197537343648644,4
41,,1.0,,2016-10-20 23:10:00,462508190484900_1197537210315324,8
42,5.0,7.0,1.0,2016-10-20 23:09:00,462508190484900_1197537140315331,167
43,4.0,,1.0,2016-10-20 23:09:00,462508190484900_1197536976982014,45
44,,3.0,,2016-10-20 23:08:01,462508190484900_1197536910315354,83
45,2.0,,,2016-10-20 23:08:00,462508190484900_1197536780315367,17
46,1.0,,,2016-10-20 23:08:00,462508190484900_1197536833648695,19
47,1.0,4.0,,2016-10-20 23:08:00,462508190484900_1197536716982040,31
48,,,,2016-10-19 20:10:01,462508190484900_1196476280421417,9
49,1.0,2.0,4.0,2016-10-19 20:09:00,462508190484900_1196475840421461,46
50,,,,2016-10-19 20:09:00,462508190484900_1196475930421452,13
51,,,1.0,2016-10-19 20:09:00,462508190484900_1196476100421435,13
52,2.0,,1.0,2016-10-19 20:08:00,462508190484900_1196475070421538,16
